id,username,type,graduation_date,cgpa,entryyear,entrytype,left_date
1747,2210469043,3,NULL,NULL,2021,NULL,NULL
1748,2210469044,3,NULL,NULL,2021,NULL,NULL
1750,2210469046,3,NULL,NULL,2021,NULL,NULL
1751,2210469047,3,NULL,NULL,2021,NULL,NULL
1752,2210469048,3,NULL,NULL,2021,NULL,NULL
1753,2210469049,3,NULL,NULL,2021,NULL,NULL
1754,2210469050,3,NULL,NULL,2021,NULL,NULL
1755,2210469051,3,NULL,NULL,2021,NULL,NULL
1756,2210469052,3,NULL,NULL,2021,NULL,NULL
1757,2210469053,3,NULL,NULL,2021,NULL,NULL
1758,2210469054,3,NULL,NULL,2021,NULL,NULL
1759,2210469055,3,NULL,NULL,2021,NULL,NULL
1760,2210469056,3,NULL,NULL,2021,NULL,NULL
1761,2210469057,3,NULL,NULL,2021,NULL,NULL
1762,2210469058,3,NULL,NULL,2021,NULL,NULL
1763,2210469059,3,NULL,NULL,2021,NULL,NULL
1764,2210469060,3,NULL,NULL,2021,NULL,NULL
1765,2210469061,3,NULL,NULL,2021,NULL,NULL
1766,2210469062,3,NULL,NULL,2021,NULL,NULL
1767,2210469063,3,NULL,NULL,2021,NULL,NULL
1768,2210469064,3,NULL,NULL,2021,NULL,NULL
1769,2210469065,3,NULL,NULL,2021,NULL,NULL
1770,2210469066,3,NULL,NULL,2021,NULL,NULL
1772,2210469068,3,NULL,NULL,2021,NULL,NULL
1773,2210469069,3,NULL,NULL,2021,NULL,NULL
1774,2210469070,3,NULL,NULL,2021,NULL,NULL
1775,2210469071,3,NULL,NULL,2021,NULL,NULL
1776,2210469072,3,NULL,NULL,2021,NULL,NULL
1777,2210469073,3,NULL,NULL,2021,NULL,NULL
1778,2210469074,3,NULL,NULL,2021,NULL,NULL
1779,2210469075,3,NULL,NULL,2021,NULL,NULL
1780,2210469076,3,NULL,NULL,2021,NULL,NULL
1781,2210469077,3,NULL,NULL,2021,NULL,NULL
1782,2210469078,3,NULL,NULL,2021,NULL,NULL
